Airline,Date_of_Journey,Source,Destination,Dep_Time,Total_Stops,Price
IndiGo,24/03/2019,Banglore,New Delhi,22:20,non-stop,3897
Air India,1/05/2019,Kolkata,Banglore,05:50,2 stops,7662
Jet Airways,9/06/2019,Delhi,Cochin,09:25,2 stops,13882
IndiGo,12/05/2019,Kolkata,Banglore,18:05,1 stop,6218
IndiGo,01/03/2019,Banglore,New Delhi,16:50,1 stop,13302
SpiceJet,24/06/2019,Kolkata,Banglore,09:00,non-stop,3873
Jet Airways,12/03/2019,Banglore,New Delhi,18:55,1 stop,11087
Jet Airways,01/03/2019,Banglore,New Delhi,08:00,1 stop,22270
Jet Airways,12/03/2019,Banglore,New Delhi,08:55,1 stop,11087
Multiple carriers,27/05/2019,Delhi,Cochin,11:25,1 stop,8625
Air India,1/06/2019,Delhi,Cochin,09:45,1 stop,8907
IndiGo,18/04/2019,Kolkata,Banglore,20:20,non-stop,4174
Air India,24/06/2019,Chennai,Kolkata,11:40,non-stop,4667
Jet Airways,9/05/2019,Kolkata,Banglore,21:10,1 stop,9663
IndiGo,24/04/2019,Kolkata,Banglore,17:15,non-stop,4804
Air India,3/03/2019,Delhi,Cochin,16:40,2 stops,14011
SpiceJet,15/04/2019,Delhi,Cochin,08:45,1 stop,5830
Jet Airways,12/06/2019,Delhi,Cochin,14:00,1 stop,10262
Air India,12/06/2019,Delhi,Cochin,20:15,2 stops,13381
Jet Airways,27/05/2019,Delhi,Cochin,16:00,1 stop,12898
GoAir,6/03/2019,Delhi,Cochin,14:10,1 stop,19495
Air India,21/03/2019,Banglore,New Delhi,22:00,1 stop,6955
IndiGo,3/04/2019,Banglore,Delhi,04:00,non-stop,3943
IndiGo,1/05/2019,Banglore,Delhi,18:55,non-stop,4823
Jet Airways,6/05/2019,Kolkata,Banglore,18:55,1 stop,7757
Jet Airways,9/06/2019,Delhi,Cochin,21:25,2 stops,13292
IndiGo,1/06/2019,Delhi,Cochin,21:50,1 stop,8238
GoAir,15/05/2019,Delhi,Cochin,07:00,1 stop,7682
Vistara,18/06/2019,Banglore,Delhi,09:45,non-stop,4668
Vistara,15/06/2019,Chennai,Kolkata,07:05,non-stop,3687
Vistara,18/06/2019,Chennai,Kolkata,07:05,non-stop,3687
Air India,1/05/2019,Kolkata,Banglore,09:50,2 stops,13227
IndiGo,6/04/2019,Banglore,Delhi,04:00,non-stop,4423
Jet Airways,15/06/2019,Delhi,Cochin,14:35,2 stops,10919
Jet Airways,18/05/2019,Delhi,Cochin,07:05,1 stop,12373
IndiGo,27/06/2019,Delhi,Cochin,10:35,1 stop,5894
SpiceJet,21/05/2019,Kolkata,Banglore,15:05,1 stop,4649
Air India,18/05/2019,Kolkata,Banglore,14:15,non-stop,6245
Jet Airways,06/03/2019,Banglore,New Delhi,07:00,1 stop,19225
Jet Airways,3/06/2019,Delhi,Cochin,07:05,1 stop,14924
Multiple carriers,21/05/2019,Delhi,Cochin,07:05,1 stop,9646
Air India,15/03/2019,Banglore,New Delhi,06:45,1 stop,8714
Jet Airways,18/05/2019,Delhi,Cochin,20:55,1 stop,12373
Air Asia,6/05/2019,Banglore,Delhi,11:10,non-stop,3383
Multiple carriers,21/03/2019,Delhi,Cochin,09:00,1 stop,13062
SpiceJet,24/03/2019,Banglore,New Delhi,05:45,non-stop,3527
IndiGo,27/05/2019,Banglore,Delhi,04:00,non-stop,3943
Air India,3/05/2019,Chennai,Kolkata,11:40,non-stop,4667
Air India,15/05/2019,Kolkata,Banglore,19:00,1 stop,6117
Jet Airways,27/06/2019,Delhi,Cochin,23:05,2 stops,11150
Jet Airways,9/03/2019,Delhi,Cochin,11:00,non-stop,7202
Jet Airways,1/05/2019,Kolkata,Banglore,09:35,1 stop,12121
IndiGo,24/03/2019,Banglore,New Delhi,22:20,non-stop,4377
IndiGo,18/06/2019,Banglore,Delhi,21:15,non-stop,3943
Air Asia,3/04/2019,Banglore,Delhi,23:55,non-stop,4483
Jet Airways,24/03/2019,Kolkata,Banglore,19:45,1 stop,14231
Air India,01/03/2019,Banglore,New Delhi,08:50,2 stops,17345
Vistara,6/03/2019,Chennai,Kolkata,07:05,non-stop,7414
Multiple carriers,6/05/2019,Delhi,Cochin,19:00,1 stop,8073
Vistara,6/03/2019,Mumbai,Hyderabad,15:40,1 stop,12395
Air India,6/06/2019,Kolkata,Banglore,09:25,1 stop,8366
Air India,3/04/2019,Delhi,Cochin,06:05,1 stop,5117
Multiple carriers,3/06/2019,Delhi,Cochin,08:45,1 stop,12524
IndiGo,15/05/2019,Delhi,Cochin,15:00,1 stop,7191
Vistara,24/05/2019,Chennai,Kolkata,07:05,non-stop,3687
IndiGo,24/06/2019,Delhi,Cochin,10:35,1 stop,5894
Vistara,24/04/2019,Banglore,Delhi,09:45,non-stop,5403
Air India,6/05/2019,Mumbai,Hyderabad,13:55,non-stop,3625
Air India,21/05/2019,Delhi,Cochin,05:55,2 stops,10861
IndiGo,12/03/2019,Chennai,Kolkata,13:20,non-stop,6297
Jet Airways,1/06/2019,Mumbai,Hyderabad,07:05,non-stop,5678
Jet Airways,09/03/2019,Banglore,New Delhi,05:45,1 stop,9134
Multiple carriers,24/06/2019,Delhi,Cochin,11:40,1 stop,10791
Jet Airways,24/06/2019,Delhi,Cochin,23:05,2 stops,12819
IndiGo,21/03/2019,Delhi,Cochin,05:05,1 stop,6893
Vistara,09/03/2019,Banglore,New Delhi,09:50,non-stop,7240
